Longitude,Latitude,Zone
79.85569466,30.55013883,safe
79.49313339,30.95124842,safe
79.89824975,30.84989476,safe
79.57330192,30.27064196,safe
79.40060753,30.15898284,safe
79.36085072,30.2826041,safe
79.56998088,30.57299529,safe
79.53132406,30.50786545,safe
79.59710588,30.56083111,safe
79.89782036,30.46743235,safe
79.67745183,30.95576116,safe
79.05518826,30.2601721,safe
79.14138489,30.18078684,safe
79.58987661,30.19050307,safe
79.33639019,30.10405094,safe
79.6355072,30.7421986,safe
79.41751269,30.87090702,safe
79.6769816,30.12178281,safe
79.60164594,30.79822828,safe
79.44673008,30.02251744,safe
79.31788051,30.31481179,safe
79.19111186,30.40314819,safe
79.66623159,30.59705833,safe
79.46703593,30.18434515,safe
79.32232019,30.79271563,safe
79.37068768,30.28337073,safe
79.59829563,30.20774423,safe
79.12372011,30.25886062,safe
79.44818339,30.30092379,safe
79.8581747,30.61003608,safe
79.57771561,30.23371018,safe
79.65230509,30.60573457,safe
79.3681541,30.72830131,safe
79.52976471,30.94869243,safe
79.7208906,30.41942108,safe
79.33351074,30.52533265,safe
79.84729196,30.72154133,safe
79.32293033,30.273881,safe
79.40906289,30.94901946,safe
79.98186743,30.56980338,safe
79.72357054,30.59343749,safe
79.87669458,30.74177694,safe
79.72963729,30.93678973,safe
79.79535847,30.50199505,safe
79.51307901,30.31297385,safe
79.40013946,30.8665801,safe
79.3045017,30.4018871,safe
79.802556,30.58643742,safe
79.67545738,30.55449421,safe
79.42864463,30.46672168,safe
79.69663656,30.17101023,safe
79.31104204,30.15017314,safe
79.57280716,30.45355188,safe
79.84806085,30.75229761,safe
79.61789128,30.05459648,safe
79.31882662,30.24498436,safe
79.49170097,30.61686262,safe
79.58607872,30.59596209,safe
79.5601858,30.91921,safe
79.59320488,30.71288301,safe
79.38621297,30.21391505,safe
79.90722097,30.77569905,safe
79.1226019,30.2765451,safe
79.82328391,30.62661336,safe
79.43041444,30.9890471,safe
79.80387257,30.87768418,safe
79.63582474,30.18486336,safe
79.70063636,30.60758661,safe
79.59361952,30.13782075,safe
79.57706052,30.80729076,safe
79.4163176,30.02926393,safe
79.69341741,30.50701016,safe
79.8746514,30.60577402,safe
79.56827521,30.71201758,safe
79.78670328,30.32153058,safe
79.29196357,30.34110018,safe
79.35783088,30.78066211,safe
79.70173536,30.15443371,safe
79.22957539,30.25714166,safe
79.51680997,30.99292155,safe
79.3478855,31.00793334,safe
79.26909685,30.13367738,safe
79.6836439,30.78276634,safe
79.27818321,30.1012179,safe
79.74568158,30.08248817,safe
79.23774896,30.54183094,safe
79.57881001,30.8805501,safe
79.36396055,30.76464724,safe
79.66966795,30.38374648,safe
79.98585944,30.84856669,safe
79.71231039,30.49234787,safe
79.66764424,30.1309064,safe
79.39221489,30.02609105,safe
79.39919318,30.65781733,safe
79.45125973,30.27410244,safe
79.79356643,30.24391898,safe
79.46886398,30.96455991,safe
79.62778403,30.57707371,safe
79.62244568,30.52084549,safe
79.47845073,30.6949111,safe
79.50318494,30.22439351,safe
79.67056875,30.69191742,safe
79.10331576,30.24629405,safe
79.94113867,30.50716056,safe
79.24889382,30.17997652,safe
79.41211853,30.78174575,safe
79.26763797,30.30151151,safe
79.1894829,30.10808691,safe
79.18767494,30.43957306,safe
79.2042049,30.1925569,safe
79.59578251,30.64795202,safe
79.92785125,30.61249267,safe
79.16083803,30.24858493,safe
79.7956835,30.69815769,safe
79.12675864,30.12498598,safe
79.66842178,30.86973613,safe
79.24561904,30.19742868,safe
79.42747679,30.62730019,safe
79.45330799,30.2606864,safe
79.70584644,30.19703103,safe
79.60369428,30.58402375,safe
79.38813832,30.75517035,safe
79.48551762,30.94418185,safe
79.43976076,30.36365433,safe
79.23131608,30.09373908,safe
79.7345538,30.41180224,safe
79.57115668,30.83346131,safe
79.37407903,29.95358512,safe
79.53666638,30.43259399,safe
79.14899743,30.38552259,safe
79.74411538,30.94974629,safe
79.62934363,30.47704684,safe
79.62798668,30.48234565,safe
79.81716699,30.89559413,safe
79.68780347,30.12008966,safe
79.52715456,30.62279673,safe
79.4466209,30.46923893,safe
79.28689459,30.0838483,safe
79.47858346,30.97633856,safe
79.44602099,30.05198444,safe
79.79051862,30.8671118,safe
79.37647769,30.59771821,safe
79.40272421,30.86029208,safe
79.58219531,30.02411966,safe
79.95179853,30.3965977,safe
79.46538922,30.84169583,safe
79.51241122,30.94575218,safe
79.35981948,30.90974076,safe
79.54153756,30.84335905,safe
79.39019198,30.910229,safe
79.71951623,30.69073464,safe
79.34206923,30.33719823,safe
79.27071883,30.05868321,safe
79.60612141,30.15226293,safe
79.2874664,30.14715599,safe
79.37331463,30.4502314,safe
79.50367463,30.99677212,safe
79.77454168,30.89304584,safe
79.71991973,30.88397374,safe
79.44339674,30.22340712,safe
79.72746515,30.48316601,safe
79.4882267,30.26835904,safe
79.40243869,30.74128973,safe
79.41227855,30.58502399,safe
79.74338725,30.59969148,safe
79.48086764,30.20377613,safe
79.52652522,30.23277257,safe
79.48708491,30.87013213,safe
79.75485338,30.23167843,safe
79.59186584,30.81179144,safe
79.70032567,30.54108821,safe
79.46083559,30.18232676,safe
79.53490452,30.32261649,safe
79.23442552,30.32424635,safe
79.83593327,30.60594047,safe
79.93495585,30.35617492,safe
79.61465717,30.11550739,safe
79.14777249,30.38562239,safe
79.19843377,30.18085468,safe
79.09824297,30.38317401,safe
79.56231274,30.6572606,safe
79.68978966,30.29658002,safe
79.44624549,30.32738297,safe
79.58756049,30.12176303,safe
79.41577057,30.32819682,safe
79.56979409,30.18632193,safe
79.13427755,30.29062326,safe
79.84286016,30.72788566,safe
79.73373149,30.30491616,safe
79.58628444,30.03990956,safe
79.22800394,30.05214717,safe
79.25043671,30.44374281,safe
80.00463759,30.77383346,safe
79.30915306,30.92752258,safe
79.56376083,30.12169817,safe
79.56033156,30.50974744,safe
79.27523442,30.29500059,safe
79.89850266,30.38944759,safe
79.14262009,30.19614787,safe
79.22305756,30.25083878,safe
79.45219629,30.10655681,safe
79.59117188,30.32722815,safe
79.17962293,30.43072632,safe
79.12681703,30.17948478,safe
79.28181125,30.2090047,safe
79.53659217,30.24397619,safe
79.22182204,30.39949912,safe
79.79081838,30.71058615,safe
79.48415597,30.59208651,safe
79.41902117,30.72626457,safe
79.59833215,30.11042655,safe
79.48093983,30.51881818,safe
79.19221424,30.21839173,safe
79.39808181,29.95122138,safe
79.80421799,30.40731164,safe
79.77903211,30.35384063,safe
79.42312241,30.80104978,safe
79.59681179,30.21038845,safe
79.55021369,30.72466972,safe
79.96981368,30.48162942,safe
79.39723195,30.64411247,safe
79.41858475,30.35922087,safe
79.78849793,30.06280685,safe
79.62889088,30.63129826,safe
79.28556581,30.8259965,safe
79.31828449,30.08424961,safe
79.59871115,30.03414998,safe
79.26338192,30.52221636,safe
79.52925048,30.3932919,safe
79.38453324,30.22596169,safe
79.86357746,30.32966473,safe
79.32396457,30.28086646,safe
79.41008276,30.36321719,safe
79.65726853,30.20139137,safe
79.94218657,30.35567549,safe
79.38146746,31.0168501,safe
79.48847929,30.66970971,safe
79.5604567,30.50236815,safe
79.30639492,30.01114818,safe
79.95507445,30.7543557,safe
79.24549865,30.07636863,safe
79.66060903,30.84816806,safe
79.19605342,30.36352166,safe
79.62771366,30.62959148,safe
79.83220338,30.97514203,safe
79.76793652,30.34618014,safe
79.8508985,30.60692103,safe
79.50532932,30.18015422,safe
79.38485009,30.0917382,safe
79.91764936,30.64633995,safe
79.53539627,30.74186522,safe
79.50945979,30.68428732,safe
79.36133623,30.63288388,safe
79.56671675,30.50288695,safe
79.3154904,30.35265655,safe
79.26974981,30.08521851,safe
79.90617292,30.32604566,safe
79.3277911,30.80218259,safe
79.88378009,30.42819647,safe
79.41987509,30.56416024,safe
79.66104098,30.69773105,safe
79.87417431,30.83996422,safe
79.31406431,30.49959336,safe
79.53297069,30.07217845,safe
79.90722166,30.70314999,safe
79.77270756,30.2479724,safe
79.49946287,30.44318166,safe
79.23672566,30.43499946,safe
79.28454573,30.01147155,safe
79.23945612,30.00894651,safe
79.66321244,30.55419242,safe
79.24897905,30.10020016,safe
79.61514758,30.77345408,safe
79.39911113,30.02549087,safe
79.76829285,30.75295018,safe
79.60920013,30.63329241,safe
79.2469883,30.42747929,safe
79.52020258,30.29071046,safe
79.55082652,30.20903046,safe
79.73957151,30.52079376,safe
79.6539794,30.41371972,safe
79.4078833,30.16345861,safe
79.49631809,31.02073155,safe
79.76197439,30.73039184,safe
79.5571802,30.16280177,safe
79.72477682,30.35152912,safe
79.43934279,30.77777007,safe
79.82282781,30.36220135,safe
79.20781969,30.17625133,safe
79.67088432,30.26202296,safe
79.26097496,30.77866631,safe
79.8538418,30.89960676,safe
79.34526907,30.06693021,safe
79.77283703,30.84236679,safe
79.833087,30.3651626,safe
79.48716763,30.12351939,safe
79.0882408,30.2281448,safe
